货箱,架次,交付完成/s,硬时限/s,期望送达/s,硬时限裕量/s
S001-FOD-01,Q3-010,908.577,—,7200,—
S001-FOD-02,Q3-011,908.577,—,7200,—
S001-FOD-03,Q3-012,2159.484,—,7200,—
S001-HYG-01,Q3-M002,7700.914,—,10800,—
S001-HYG-02,Q3-M002,7700.914,—,10800,—
S001-MED-01,Q3-007,3356.115,3600,3600,243.885
S001-MED-02,Q3-007,3356.115,3600,3600,243.885
S001-WAT-01,Q3-007,3356.115,3600,3600,243.885
S001-WAT-02,Q3-007,3356.115,—,3600,—
S001-WAT-03,Q3-007,3356.115,—,3600,—
S001-WAT-04,Q3-007,3356.115,—,3600,—
S001-WAT-05,Q3-007,3356.115,—,3600,—
S001-WAT-06,Q3-010,908.577,—,3600,—
S001-WAT-07,Q3-011,908.577,—,3600,—
S001-WAT-08,Q3-012,2159.484,—,3600,—
S002-FOD-01,Q3-G3-1,1487.331,—,7200,—
S002-FOD-02,Q3-G2-2,3405.188,—,7200,—
S002-HYG-01,Q3-G3-1,1487.331,—,10800,—
S002-MED-01,Q3-G3-1,1487.331,3600,3600,2112.669
S002-WAT-01,Q3-G2-2,3405.188,3600,3600,194.812
S002-WAT-02,Q3-G3-1,1487.331,—,3600,—
S002-WAT-03,Q3-G3-1,1487.331,—,3600,—
S002-WAT-04,Q3-G3-1,1487.331,—,3600,—
S003-FOD-01,Q3-016,5313.566,—,10800,—
S003-FOD-02,Q3-026,5940.577,—,10800,—
S003-HYG-01,Q3-026,5940.577,—,14400,—
S003-MED-01,Q3-016,5313.566,7200,7200,1886.434
S003-WAT-01,Q3-016,5313.566,7200,7200,1886.434
S003-WAT-02,Q3-016,5313.566,—,7200,—
S003-WAT-03,Q3-016,5313.566,—,7200,—
S003-WAT-04,Q3-016,5313.566,—,7200,—
S004-FOD-01,Q3-006,3252.230,—,10800,—
S004-HYG-01,Q3-006,3252.230,—,14400,—
S004-MED-01,Q3-006,3252.230,7200,7200,3947.770
S004-WAT-01,Q3-006,3252.230,7200,7200,3947.770
S004-WAT-02,Q3-006,3252.230,—,7200,—
S004-WAT-03,Q3-006,3252.230,—,7200,—
S005-FOD-01,Q3-M002,8405.555,—,14400,—
S005-HYG-01,Q3-M002,8405.555,—,18000,—
S005-MED-01,Q3-M002,8405.555,10800,10800,2394.445
S005-WAT-01,Q3-M002,8405.555,10800,10800,2394.445
S005-WAT-02,Q3-M002,8405.555,—,10800,—
S005-WAT-03,Q3-M002,8405.555,—,10800,—
S006-FOD-01,Q3-013,2186.409,—,7200,—
S006-HYG-01,Q3-014,2752.146,—,10800,—
S006-MED-01,Q3-008,935.502,3600,3600,2664.498
S006-WAT-01,Q3-008,935.502,3600,3600,2664.498
S006-WAT-02,Q3-013,2186.409,—,3600,—
S006-WAT-03,Q3-014,2752.146,—,3600,—
S007-FOD-01,Q3-H1-1,3759.190,—,7200,—
S007-HYG-01,Q3-H1-2,3229.794,—,10800,—
S007-MED-01,Q3-009,3272.441,3600,3600,327.559
S007-WAT-01,Q3-009,3272.441,3600,3600,327.559
S007-WAT-02,Q3-H1-2,3229.794,—,3600,—
S008-FOD-01,Q3-017,6139.967,—,10800,—
S008-HYG-01,Q3-017,6139.967,—,14400,—
S008-MED-01,Q3-017,6139.967,7200,7200,1060.033
S008-WAT-01,Q3-017,6139.967,7200,7200,1060.033
S008-WAT-02,Q3-017,6139.967,—,7200,—
S009-FOD-01,Q3-G1-2,8151.241,—,14400,—
S009-MED-01,Q3-G1-2,8151.241,10800,10800,2648.759
S009-WAT-01,Q3-G1-2,8151.241,10800,10800,2648.759
S010-FOD-01,Q3-002,1162.171,—,7200,—
S010-MED-01,Q3-002,1162.171,3600,3600,2437.829
S010-WAT-01,Q3-002,1162.171,3600,3600,2437.829
S011-FOD-01,Q3-023,4370.273,—,14400,—
S011-MED-01,Q3-023,4370.273,10800,10800,6429.727
S011-WAT-01,Q3-023,4370.273,10800,10800,6429.727
S012-FOD-01,Q3-001,1271.343,—,7200,—
S012-MED-01,Q3-001,1271.343,3600,7200,2328.657
S012-WAT-01,Q3-001,1271.343,3600,3600,2328.657
S013-FOD-01,Q3-H2-2,1083.615,—,7200,—
S013-MED-01,Q3-H2-2,1083.615,3600,3600,2516.385
S013-WAT-01,Q3-H2-1,3525.429,3600,3600,74.571
S014-FOD-01,Q3-003,1242.431,—,7200,—
S014-MED-01,Q3-003,1242.431,3600,7200,2357.569
S014-WAT-01,Q3-003,1242.431,3600,3600,2357.569
S015-FOD-01,Q3-018,4999.891,—,14400,—
S015-MED-01,Q3-018,4999.891,7200,7200,2200.109
S015-WAT-01,Q3-018,4999.891,10800,10800,5800.109
