kind,entity,task,start,end
B,U05,Q2-001,0.0,1209.1061758262158
A,U01,Q2-002,0.0,1313.476639779827
A,U02,Q2-003,0.0,2315.3390745991514
A,U03,Q2-004,0.0,1692.188198238037
B,U06,Q2-005,0.0,1922.826814149187
A,U04,Q2-006,0.0,1968.6530565810065
B,U05,Q2-007,1209.1061758262156,3025.830257133973
A,U01,Q2-008,1313.4766397798273,3623.5225484477814
C,U07,Q2-009,0.0,1560.175045862023
B,U06,Q2-010,1922.8268141491867,3824.668561324889
A,U03,Q2-011,1692.1881982380369,3419.6550841298185
A,U04,Q2-012,2192.3634567411664,4380.108956053008
A,U02,Q2-013,2805.0043213777635,5150.305480067565
A,U03,Q2-014,3419.6550841298185,5111.843282367856
C,U08,Q2-015,0.0,1429.5526244866223
C,U08,Q2-016,1429.5526244866223,3471.394790511177
A,U01,Q2-017,3623.5225484477814,5886.259779078042
B,U05,Q2-018,3025.8302571339727,4541.998676401486
C,U07,Q2-019,1560.1750458620231,3880.9335583384536
C,U08,Q2-020,3471.394790511177,6165.075957015793
B,U06,Q2-021,3824.6685613248897,5786.510308500592
A,U04,Q2-022,4489.044541323991,6177.684187212316
B,U05,Q2-023,4868.335198338835,6056.7599611993555
C,U07,Q2-024,3880.933558338453,6181.988277110899
