架次,机型,无人机,电池,访问顺序,箱数,载重_kg,体积_m3,开始_s,返回_s,能耗_kWh,返航SOC,电池充满_s,中继服务窗
Q2-001,B,U05,B-BAT-01,O01→S001→O01,3,20,0.051,0.0,1209.1061758262158,1.073972257635461,0.7315069355911348,2341.1608208015823,
Q2-002,A,U01,A-BAT-01,O01→S006→O01,2,17,0.039,0.0,1313.476639779827,1.3115312894815578,0.7085486023374317,2192.363456741166,
Q2-003,A,U02,A-BAT-02,O01→S014→S010→O01,3,20,0.051,0.0,2315.3390745991514,2.5497629273078775,0.433386016153805,3551.937253599205,
Q2-004,A,U03,A-BAT-03,O01→S005→O01,2,17,0.039,0.0,1692.188198238037,2.1212865800990524,0.5286029822002105,2805.0043213777635,
Q2-005,B,U06,B-BAT-02,O01→S012→O01,3,25,0.067,0.0,1922.826814149187,2.7525999542899324,0.3118500114275169,3782.286794341491,
Q2-006,A,U04,A-BAT-04,O01→S015→O01,2,22,0.055,0.0,1968.6530565810065,2.5577839515021354,0.4316035663328588,3207.56842034829,
Q2-007,B,U05,B-BAT-03,O01→S002→O01,3,25,0.067,1209.1061758262156,3025.830257133973,2.713472941241988,0.32163176468950305,4868.335198338835,
Q2-008,A,U01,A-BAT-05,O01→S007→S015→O01,3,20,0.051,1313.4766397798273,3623.5225484477814,2.636425683374808,0.4141276259167094,4885.156634756059,
Q2-009,C,U07,C-BAT-01,O01→S001→O01,7,78,0.199,0.0,1560.175045862023,2.99577580490467,0.6255280243869162,3204.8643263570375,
Q2-010,B,U06,B-BAT-04,O01→S008→O01,2,20,0.062,1922.8268141491867,3824.668561324889,2.763431205233371,0.30914219869165727,5688.822083592683,
Q2-011,A,U03,A-BAT-06,O01→S007→O01,2,22,0.055,1692.1881982380369,3419.6550841298185,1.9709635056721377,0.562008109850636,4489.044541323991,
Q2-012,A,U04,A-BAT-01,O01→S013→S009→O01,3,20,0.051,2192.3634567411664,4380.108956053008,2.7434271516848745,0.3903495218478057,5672.654577650861,
Q2-013,A,U02,A-BAT-03,O01→S013→S014→O01,2,16,0.056,2805.0043213777635,5150.305480067565,2.7378269951844576,0.39159400107012055,6441.233278676409,
Q2-014,A,U03,A-BAT-04,O01→S005→O01,2,22,0.055,3419.6550841298185,5111.843282367856,2.1929475181727294,0.512678329294949,6245.361454284422,
Q2-015,C,U08,C-BAT-02,O01→S006→O01,4,42,0.117,0.0,1429.5526244866223,2.3277695003125345,0.7090288124609332,2893.323530821267,
Q2-016,C,U08,C-BAT-03,O01→S002→O01,5,56,0.144,1429.5526244866223,3471.394790511177,5.721356203945945,0.2848304745067569,5854.262095746537,
Q2-017,A,U01,A-BAT-02,O01→S003→O01,2,22,0.055,3623.5225484477814,5886.259779078042,3.0837771807517074,0.31471618205517615,7277.128742406313,
Q2-018,B,U05,B-BAT-01,O01→S005→O01,2,20,0.062,3025.8302571339727,4541.998676401486,1.8344903038323692,0.5413774240419077,6003.611141395512,
Q2-019,C,U07,C-BAT-04,O01→S001→S010→O01,7,78,0.199,1560.1750458620231,3880.9335583384536,4.850608201806266,0.39367397477421673,6027.973279660984,
Q2-020,C,U08,C-BAT-02,O01→S007→S003→O01,7,65,0.191,3471.394790511177,6165.075957015793,6.101282624832449,0.23733967189594385,8650.84000124125,
Q2-021,B,U06,B-BAT-02,O01→S008→O01,3,25,0.067,3824.6685613248897,5786.510308500592,2.975206874542233,0.2561982813644418,7742.433287468893,
Q2-022,A,U04,A-BAT-06,O01→S009→O01,2,22,0.055,4489.044541323991,6177.684187212316,2.331353700458349,0.48192139989814464,7351.186367344728,
Q2-023,B,U05,B-BAT-03,O01→S011→O01,3,25,0.067,4868.335198338835,6056.7599611993555,1.0739366863951034,0.7315158284012242,7188.799191970567,
Q2-024,C,U07,C-BAT-01,O01→S004→O01,6,59,0.156,3880.933558338453,6181.988277110899,6.152860129174583,0.23089248385317718,8681.721228762348,
