kind,distance_m,altitude_m,dem_row,dem_col,source_ref
terrain,0.0,128.7255401611328,778,713,镇龙乡及周边30米DEM.tif
terrain,18.42563776843465,128.7255401611328,778,713,镇龙乡及周边30米DEM.tif
terrain,18.42563776843465,126.96179962158203,778,712,镇龙乡及周边30米DEM.tif
terrain,50.972867629245826,126.96179962158203,778,712,镇龙乡及周边30米DEM.tif
terrain,50.972867629245826,128.55950927734375,778,711,镇龙乡及周边30米DEM.tif
terrain,55.00144467901392,128.55950927734375,778,711,镇龙乡及周边30米DEM.tif
terrain,55.00144467901392,129.99810791015625,777,711,镇龙乡及周边30米DEM.tif
terrain,83.52009749005701,129.99810791015625,777,711,镇龙乡及周边30米DEM.tif
terrain,83.52009749005701,129.44732666015625,777,710,镇龙乡及周边30米DEM.tif
terrain,116.06732735086817,129.44732666015625,777,710,镇龙乡及周边30米DEM.tif
terrain,116.06732735086817,128.8667755126953,777,709,镇龙乡及周边30米DEM.tif
terrain,118.52817680990444,128.8667755126953,777,709,镇龙乡及周边30米DEM.tif
terrain,118.52817680990444,127.14604187011719,776,709,镇龙乡及周边30米DEM.tif
terrain,148.61455721167937,127.14604187011719,776,709,镇龙乡及周边30米DEM.tif
terrain,148.61455721167937,132.83932495117188,776,708,镇龙乡及周边30米DEM.tif
terrain,181.16178707249054,132.83932495117188,776,708,镇龙乡及周边30米DEM.tif
terrain,181.16178707249054,144.2466278076172,776,707,镇龙乡及周边30米DEM.tif
terrain,182.05490894079492,144.2466278076172,776,707,镇龙乡及周边30米DEM.tif
terrain,182.05490894079492,145.2404022216797,775,707,镇龙乡及周边30米DEM.tif
terrain,213.7090169333017,145.2404022216797,775,707,镇龙乡及周边30米DEM.tif
terrain,213.7090169333017,148.91098022460938,775,706,镇龙乡及周边30米DEM.tif
terrain,245.58164107168543,148.91098022460938,775,706,镇龙乡及周边30米DEM.tif
terrain,245.58164107168543,155.64010620117188,774,706,镇龙乡及周边30米DEM.tif
terrain,246.2562467941129,155.64010620117188,774,706,镇龙乡及周边30米DEM.tif
terrain,246.2562467941129,161.32106018066406,774,705,镇龙乡及周边30米DEM.tif
terrain,278.80347665492405,161.32106018066406,774,705,镇龙乡及周边30米DEM.tif
terrain,278.80347665492405,157.1849365234375,774,704,镇龙乡及周边30米DEM.tif
terrain,309.10837320257593,157.1849365234375,774,704,镇龙乡及周边30米DEM.tif
terrain,309.10837320257593,166.52967834472656,773,704,镇龙乡及周边30米DEM.tif
terrain,311.3507065157353,166.52967834472656,773,704,镇龙乡及周边30米DEM.tif
terrain,311.3507065157353,165.9195556640625,773,703,镇龙乡及周边30米DEM.tif
terrain,343.89793637654645,165.9195556640625,773,703,镇龙乡及周边30米DEM.tif
terrain,343.89793637654645,153.92185974121094,773,702,镇龙乡及周边30米DEM.tif
terrain,372.6351053334664,153.92185974121094,773,702,镇龙乡及周边30米DEM.tif
terrain,372.6351053334664,157.43710327148438,772,702,镇龙乡及周边30米DEM.tif
terrain,376.44516623735757,157.43710327148438,772,702,镇龙乡及周边30米DEM.tif
terrain,376.44516623735757,145.1943817138672,772,701,镇龙乡及周边30米DEM.tif
terrain,408.9923960981688,145.1943817138672,772,701,镇龙乡及周边30米DEM.tif
terrain,408.9923960981688,140.2399444580078,772,700,镇龙乡及周边30米DEM.tif
terrain,436.1618374643569,140.2399444580078,772,700,镇龙乡及周边30米DEM.tif
terrain,436.1618374643569,143.95896911621094,771,700,镇龙乡及周边30米DEM.tif
terrain,441.53962595897997,143.95896911621094,771,700,镇龙乡及周边30米DEM.tif
terrain,441.53962595897997,146.14663696289062,771,699,镇龙乡及周边30米DEM.tif
terrain,474.08685581979114,146.14663696289062,771,699,镇龙乡及周边30米DEM.tif
terrain,474.08685581979114,159.1983184814453,771,698,镇龙乡及周边30米DEM.tif
terrain,499.6885695952474,159.1983184814453,771,698,镇龙乡及周边30米DEM.tif
terrain,499.6885695952474,161.46713256835938,770,698,镇龙乡及周边30米DEM.tif
terrain,506.6340856806023,161.46713256835938,770,698,镇龙乡及周边30米DEM.tif
terrain,506.6340856806023,176.7745819091797,770,697,镇龙乡及周边30米DEM.tif
terrain,539.1813155414135,176.7745819091797,770,697,镇龙乡及周边30米DEM.tif
terrain,539.1813155414135,176.9140625,770,696,镇龙乡及周边30米DEM.tif
terrain,563.2153017261379,176.9140625,770,696,镇龙乡及周边30米DEM.tif
terrain,563.2153017261379,158.15907287597656,769,696,镇龙乡及周边30米DEM.tif
terrain,571.7285454022247,158.15907287597656,769,696,镇龙乡及周边30米DEM.tif
terrain,571.7285454022247,165.26637268066406,769,695,镇龙乡及周边30米DEM.tif
terrain,604.2757752630359,165.26637268066406,769,695,镇龙乡及周边30米DEM.tif
terrain,604.2757752630359,183.16429138183594,769,694,镇龙乡及周边30米DEM.tif
terrain,626.7420338570284,183.16429138183594,769,694,镇龙乡及周边30米DEM.tif
terrain,626.7420338570284,182.08265686035156,768,694,镇龙乡及周边30米DEM.tif
terrain,636.8230051238471,182.08265686035156,768,694,镇龙乡及周边30米DEM.tif
terrain,636.8230051238471,196.6957550048828,768,693,镇龙乡及周边30米DEM.tif
terrain,669.3702349846582,196.6957550048828,768,693,镇龙乡及周边30米DEM.tif
