record_type,id,x,y,text,kind,width,height,source_ref,source,target,label,route
node,n0,0.265,0.91,"读取货箱、实体、电池
与两类截止",terminal,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n1,0.265,0.7050000000000001,"构造满足运输和资源约束
的可行起点",process,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n2,0.265,0.5,"生成有限邻域
移箱、换箱、拆分
合并与顺序调整",process,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n3,0.265,0.29500000000000004,"重算路线、能耗与交付事件
重新指派同型实体和满电电池",process,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n4,0.265,0.09,"逐箱、硬时限与
资源占用均可行？",decision,0.415,0.15,content/07_问题二.txt;results/q2.json,,,,
node,n5,0.755,0.09,"按加权迟交、末返、能耗
及架次评价
禁忌记忆减少重复变换",process,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n6,0.755,0.3633333333333334,"达到搜索预算或停止条件后
保留最好可行方案",process,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n7,0.755,0.6366666666666667,"独立重算箱号、目的地
物理与资源",process,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
node,n8,0.755,0.91,"输出固定方案
有限搜索不构成全局最优证明",terminal,0.415,0.13,content/07_问题二.txt;results/q2.json,,,,
edge,,,,,,,,,n0,n1,,direct
edge,,,,,,,,,n1,n2,,direct
edge,,,,,,,,,n2,n3,,direct
edge,,,,,,,,,n3,n4,,direct
edge,,,,,,,,,n4,n5,是,direct
edge,,,,,,,,,n5,n6,,direct
edge,,,,,,,,,n6,n7,,direct
edge,,,,,,,,,n7,n8,,direct
edge,,,,,,,,,n4,n2,否：下一候选,left
