record_type,id,x,y,text,kind,width,height,source_ref,source,target,label,route
node,n0,0.265,0.91,"读取完整货箱、机型
与单点航段",terminal,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n1,0.265,0.6366666666666667,"检查空载与满载能量
必要时二分求最大安全载荷",process,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n2,0.265,0.3633333333333333,逐区枚举非空货箱子集与机型,process,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n3,0.265,0.09,核载重、体积与往返安全余量,process,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n4,0.755,0.09,"构建逐箱恰好覆盖一次
的集合划分模型",process,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n5,0.755,0.3633333333333334,"分层求解两种目标顺序
架次优先与能耗优先",process,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n6,0.755,0.6366666666666667,逐箱重算并对照容量下界,process,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
node,n7,0.755,0.91,输出两套组批及其适用边界,terminal,0.415,0.13,src/q1_engine.py;results/q1.json;results/q1_energy_first.json,,,,
edge,,,,,,,,,n0,n1,,direct
edge,,,,,,,,,n1,n2,,direct
edge,,,,,,,,,n2,n3,,direct
edge,,,,,,,,,n3,n4,,direct
edge,,,,,,,,,n4,n5,,direct
edge,,,,,,,,,n5,n6,,direct
edge,,,,,,,,,n6,n7,,direct
