row,col,lon,lat,z_body_m,dist3d_m,line_of_sight,class
490,448,109.15722222222223,23.08861111111111,421.79046630859375,11650.80917682665,False,2
490,451,109.15805555555556,23.08861111111111,422.063232421875,11595.65066220771,False,2
490,454,109.1588888888889,23.08861111111111,430.5768127441406,11541.059968390266,False,2
490,457,109.15972222222223,23.08861111111111,442.8344421386719,11486.947098705552,False,2
490,460,109.16055555555556,23.08861111111111,471.326904296875,11433.67761002697,False,2
490,463,109.1613888888889,23.08861111111111,482.09625244140625,11380.336848196124,False,2
490,466,109.16222222222223,23.08861111111111,498.9394226074219,11327.586162341302,False,2
490,469,109.16305555555556,23.08861111111111,500.6207580566406,11274.776361588785,False,2
490,472,109.16388888888889,23.08861111111111,519.165771484375,11222.914156824527,False,2
490,475,109.16472222222222,23.08861111111111,517.9583740234375,11170.823140032644,False,2
490,478,109.16555555555556,23.08861111111111,522.2471923828125,11119.328377764328,False,2
490,481,109.16638888888889,23.08861111111111,531.7130126953125,11068.4335015676,False,2
490,484,109.16722222222222,23.08861111111111,552.207763671875,11018.373451995512,False,2
490,487,109.16805555555557,23.08861111111111,561.4546508789062,10968.358551785692,False,2
490,490,109.1688888888889,23.08861111111111,576.396240234375,10919.012908182072,False,2
490,493,109.16972222222223,23.08861111111111,566.4827270507812,10869.14918514662,False,2
490,496,109.17055555555557,23.08861111111111,540.8236999511719,10819.155720036333,False,2
490,499,109.1713888888889,23.08861111111111,491.8815612792969,10768.899712277158,False,2
490,502,109.17222222222223,23.08861111111111,514.0873718261719,10721.507925092037,False,2
490,505,109.17305555555556,23.08861111111111,543.735107421875,10674.909147346412,False,2
490,508,109.1738888888889,23.08861111111111,561.2960205078125,10628.39822281672,False,2
490,511,109.17472222222223,23.08861111111111,554.5762329101562,10581.440242277878,False,2
490,514,109.17555555555556,23.08861111111111,514.374267578125,10533.751381558415,False,2
490,517,109.1763888888889,23.08861111111111,525.8620910644531,10488.432205800824,False,2
490,520,109.17722222222223,23.08861111111111,511.9617614746094,10442.711439976145,False,2
490,523,109.17805555555556,23.08861111111111,506.05224609375,10397.78248184599,False,2
490,526,109.17888888888889,23.08861111111111,517.7163696289062,10353.97998557345,False,2
490,529,109.17972222222222,23.08861111111111,486.47845458984375,10309.213456423746,False,2
490,532,109.18055555555556,23.08861111111111,442.1377868652344,10264.673559382813,False,2
490,535,109.18138888888889,23.08861111111111,376.284912109375,10220.34225231912,False,2
490,538,109.18222222222222,23.08861111111111,388.18536376953125,10178.501339854123,False,2
490,541,109.18305555555555,23.08861111111111,368.99334716796875,10136.49521698933,False,2
490,544,109.1838888888889,23.08861111111111,386.365478515625,10095.871957046713,False,2
490,547,109.18472222222223,23.08861111111111,389.5177001953125,10055.488381330968,False,2
490,550,109.18555555555557,23.08861111111111,399.5303955078125,10015.841819844982,False,2
490,553,109.1863888888889,23.08861111111111,412.0287780761719,9976.84484898234,False,2
490,556,109.18722222222223,23.08861111111111,431.1293640136719,9938.631035933277,False,2
490,559,109.18805555555556,23.08861111111111,442.00567626953125,9900.79584285994,False,2
490,562,109.1888888888889,23.08861111111111,472.6341247558594,9864.198350794088,False,2
490,565,109.18972222222223,23.08861111111111,495.56817626953125,9828.027279902171,False,2
490,568,109.19055555555556,23.08861111111111,506.9444580078125,9792.090795928329,False,2
490,571,109.1913888888889,23.08861111111111,530.5199890136719,9757.254273018136,False,2
490,574,109.19222222222223,23.08861111111111,559.4761352539062,9723.327116771638,False,2
490,577,109.19305555555556,23.08861111111111,593.9103393554688,9690.371599250568,False,2
490,580,109.19388888888889,23.08861111111111,572.2901611328125,9655.554820960311,False,2
490,583,109.19472222222223,23.08861111111111,567.341552734375,9622.131871889813,False,2
490,586,109.19555555555556,23.08861111111111,541.1491394042969,9588.460887168714,False,2
490,589,109.19638888888889,23.08861111111111,504.2106628417969,9555.099876243497,False,2
490,592,109.19722222222222,23.08861111111111,465.7502136230469,9522.48077782513,False,2
